Jenis Kelamin,Usia,Y_Kepuasan,X1_Kemudahan_Penggunaan,X2_Keamanan_Transaksi,X3_Kemanfaatan,X4_Kualitas_Layanan,X5_Kecepatan_Aplikasi,Frekuensi_Penggunaan
Laki-laki,17 tahun - 29 tahun,4.0,4.0,4.0,4.0,4.0,4.0,Jarang (1 - 4 kali sebulan)
Perempuan,>45 tahun,4.0,4.0,4.0,4.0,3.3333333333333335,4.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.0,2.75,3.3333333333333335,2.3333333333333335,2.6666666666666665,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,Sering (5 - 15 kali sebulan)
Perempuan,30 tahun - 45 tahun,4.0,3.6666666666666665,4.0,4.0,3.3333333333333335,4.0,Jarang (1 - 4 kali sebulan)
Laki-laki,17 tahun - 29 tahun,4.0,4.0,4.0,4.0,4.0,4.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.6666666666666665,3.25,3.6666666666666665,3.0,4.0,Sangat Sering (Lebih dari 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,4.0,4.0,4.0,2.6666666666666665,4.0,Sangat Sering (Lebih dari 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.0,3.0,3.0,3.0,3.0,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,4.0,4.0,4.0,4.0,4.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.0,3.0,4.0,3.0,3.3333333333333335,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.0,3.25,3.6666666666666665,3.3333333333333335,4.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.6666666666666665,3.0,4.0,4.0,4.0,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,4.0,4.0,4.0,4.0,4.0,Sangat Sering (Lebih dari 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,4.0,3.25,3.0,3.0,3.0,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.3333333333333335,4.0,3.0,3.0,3.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.6666666666666665,4.0,3.0,3.6666666666666665,3.3333333333333335,Jarang (1 - 4 kali sebulan)
Laki-laki,17 tahun - 29 tahun,4.0,4.0,3.5,4.0,3.6666666666666665,4.0,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.6666666666666665,3.25,3.6666666666666665,3.6666666666666665,3.0,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.0,2.75,3.0,2.3333333333333335,3.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,2.6666666666666665,4.0,3.0,2.6666666666666665,3.6666666666666665,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,2.6666666666666665,2.5,3.6666666666666665,2.0,2.3333333333333335,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.6666666666666665,4.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,Sangat Sering (Lebih dari 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.0,3.0,3.6666666666666665,3.0,3.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,4.0,4.0,4.0,4.0,4.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.3333333333333335,4.0,3.6666666666666665,2.6666666666666665,2.3333333333333335,Sangat Sering (Lebih dari 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,2.3333333333333335,3.0,3.0,3.0,3.0,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.0,3.75,4.0,3.0,3.6666666666666665,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,4.0,4.0,3.6666666666666665,4.0,4.0,Sangat Sering (Lebih dari 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.0,2.5,3.3333333333333335,2.3333333333333335,3.0,Jarang (1 - 4 kali sebulan)
Laki-laki,17 tahun - 29 tahun,4.0,3.6666666666666665,4.0,3.6666666666666665,3.3333333333333335,4.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.6666666666666665,3.25,2.6666666666666665,3.3333333333333335,3.6666666666666665,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,4.0,4.0,4.0,4.0,4.0,Sangat Sering (Lebih dari 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,3.6666666666666665,2.75,3.3333333333333335,3.0,3.0,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.6666666666666665,3.0,3.0,3.0,3.0,Jarang (1 - 4 kali sebulan)
Laki-laki,17 tahun - 29 tahun,4.0,3.6666666666666665,3.5,3.6666666666666665,3.0,3.6666666666666665,Jarang (1 - 4 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,4.0,4.0,4.0,3.6666666666666665,4.0,Sangat Sering (Lebih dari 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,3.0,4.0,3.75,3.3333333333333335,3.3333333333333335,3.6666666666666665,Sering (5 - 15 kali sebulan)
Perempuan,17 tahun - 29 tahun,4.0,3.3333333333333335,3.5,3.3333333333333335,3.0,4.0,Sering (5 - 15 kali sebulan)
